date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:27:04	45458/45458	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2012:02:14%20GMT	https://rayhan.hasnaanajmi.org/index-2.html	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/index-2.html	(from )
21:27:07	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Oct%202023%2014:27:10%20GMT	https://rayhan.hasnaanajmi.org/robots.txt		(from )
21:27:07	8808/8808	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/images/icon2.png	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/images/icon2.png	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:08	31000/31000	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/css/font-awesome.min.css	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/css/font-awesome.min.css	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:08	6951/6951	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/css/magnific-popup.css	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/css/magnific-popup.css	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:09	3352/3352	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/css/owl.carousel.min.css	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/css/owl.carousel.min.css	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:09	121200/121200	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/css/bootstrap.min.css	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/css/bootstrap.min.css	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:11	1041/1041	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/css/owl.theme.default.min.css	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/css/owl.theme.default.min.css	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:12	56048/56048	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/css/animate.min.css	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/css/animate.min.css	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:12	41592/41592	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/css/main.css	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/css/main.css	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:13	11829/11829	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/css/main2.css	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/css/main2.css	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:16	51173/51173	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/images/about2.jpg	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/images/about2.jpg	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:18	22673/22673	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/images/portfolio/item-2.jpg	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/images/portfolio/item-2.jpg	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:19	34780/34780	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/images/portfolio/item-3.jpg	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/images/portfolio/item-3.jpg	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:19	68831/68831	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/images/portfolio/item-1.jpg	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/images/portfolio/item-1.jpg	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:20	29742/29742	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/images/portfolio/item-4.jpg	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/images/portfolio/item-4.jpg	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:22	2990/2990	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/images/testimonials/1.jpg	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/images/testimonials/1.jpg	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:24	78514/78514	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/images/portfolio/item-5.jpg	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/images/portfolio/item-5.jpg	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:24	3781/3781	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/images/testimonials/2.jpg	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/images/testimonials/2.jpg	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:24	2918/2918	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/images/testimonials/3.jpg	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/images/testimonials/3.jpg	(from https://rayhan.hasnaanajmi.org/index-2.html)
21:27:24	3607/3607	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2018:43:53%20GMT	https://rayhan.hasnaanajmi.org/images/testimonials/4.jpg	C:/Users/Hisyam%20Maulana/Downloads/portofolio_habibi4/rayhan.hasnaanajmi.org/images/testimonials/4.jpg	(from https://rayhan.hasnaanajmi.org/index-2.html)
